title,location,snippet,salary,source,type,company,updated,link,description
Variable Frequency Drive Technical Project Manager,"Fairfield, OH"," Summary  : 
 This role is responsible for overseeing MV Variable Frequency Drive solutions orders from placement to project completion. This involves supporting customer projects, coordinating internal processes, supporting post-shipment and warranty activity, and conducting...",,equest.com,Full-time,Schneider Electric,2025-02-02T04:28:05.7442243+00:00,https://jooble.org/jdp/8558912101480475081,Description not available
Senior Web Developer,"West Chester, Butler County, OH","3dB Labs is seeking an experienced senior software engineer who loves to solve challenging web problems in the realm of digital signal processing. The ideal candidate is creative, smart, and able to work effectively on their own or with a small team. Our work provides the...",,jazzhr.com,Full-time,3dB Labs,2025-01-02T00:00:00.0000000,https://jooble.org/jdp/5104396090376211535,Description not available
Technical Project Manager - Digital Signal Processing (DSP),"West Chester, Butler County, OH","As a Technical Project Manager, you will play a critical role in managing the development and delivery of DSP products, collaborating with cross-functional teams of engineers, field support representatives, and stakeholders to ensure successful project execution. You will...",,jazzhr.com,Full-time,3dB Labs,2025-01-29T23:04:14.3922475+00:00,https://jooble.org/jdp/-4366596127387860511,Description not available
PCBA Product Test Engineer,"Fairfield, OH","&nbsp;...and mechanical systems 
 Basic understanding of UL61010-1 Standard, NFPA 79, National Electric Code and OSHA NRTL certification as <b>it </b>pertains to manufacturing test systems design 
 Familiarity with electrical safe work practices 
 In-circuit test experience with Teradyne...&nbsp;",,app.linkedin.com,,US Tech Solutions,2025-02-02T00:09:56.4030000,https://jooble.org/jdp/-4443697827323541498,Description not available
Information Technology Manager - MDM and System Processes (Oracle),"West Chester, Butler County, OH"," Job Description Summary 
 The “Information Technology Manager – MDM and System Processes” will be responsible for defining, implementing, and supporting enterprise data management strategies and processes to ensure data consistency, accuracy, and reliability across the...",,dejobs.org,,GE Vernova,2025-01-24T08:36:53.3247164+00:00,https://jooble.org/jdp/3339261983543820720,Description not available
"Applications Specialist (Information Technology, Not Remote)","Hamilton, OH","&nbsp;...multiple departments across the company, they will be in constant communication with other UPM team members, within and outside of the <b>IT </b>department, to drive efficiency of current processes as well as using application tools to help develop new processes. Exposure to...&nbsp;",,snapjobsearch.com,,O'Neal Industries,2025-01-14T23:44:40.2700000,https://jooble.org/jdp/-7947988715324208319,Description not available
Global Proficy Platform - Lead Engineer,"West Chester, Butler County, OH","&nbsp;...is where business, innovation and technology integrate to build a competitive advantage for P&G.  Our mission is clear -- we deliver <b>IT </b>to help P&G win with the over 5 billion consumers we serve worldwide.  Our IT professionals are diverse business leaders who apply IT...&nbsp;",,dejobs.org,,Procter & Gamble,2024-09-19T00:00:00.0000000,https://jooble.org/jdp/4234196323358022782,Description not available
Human Resources Business Systems Analyst | Colgate University,"Hamilton, OH","&nbsp;...intelligence tools and facilities advanced reporting. 
 Troubleshoots technical support for the HR Department. 
 Communicates with the <b>IT </b>department and assists in troubleshooting integration files between systems. 
 Performs setup and maintenance of supporting HR...&nbsp;",,hercjobs.org,,Colgate University,2025-01-26T00:00:00.0000000,https://jooble.org/jdp/-6288957736536734334,Description not available
Systems Process Engineer,"Fairfield, OH"," Systems Process Engineer - Fairfield, Ohio Plant. 
 Employee Location - 4 hour radius from Fairfield, OH: Kentucky, Ohio, E. Illinois, S. Michigan, W. Pennsylvania, Indiana. 

 Who we are: 
 Demand for critical minerals to power the energy transition is growing exponentially...",,betterteam.com,Full-time,Nth Cycle,2025-01-26T04:10:20.2640927+00:00,https://jooble.org/jdp/-8424368039007799044,Description not available
Automation and Process Engineer,"Sharonville, OH"," Allow me to introduce you to Kutol Products Company, we are a thriving hand soap and hand sanitizer manufacturer operating out of our 205,000 square foot facility in Sharonville, Ohio. We process batches and package liquid hand soaps and hand sanitizers across a variety...",,workable.com,Full-time,Kutol Products Company,2025-01-26T08:04:52.9830009+00:00,https://jooble.org/jdp/7232930531690203160,Description not available
Technical Support Associate Analyst (35702057),"Fairfield, OH","&nbsp;...enterprise third-party vendor for contingent work. 
 Position Notes: 
~ Onsite; Fairfield, OH 

 Summary: 
 Contributes to the <b>IT </b>Support job family in a support capacity. Helps configure, install, maintain and upgrade computer systems hardware and software. Performs...&nbsp;",$28 per hour,willhire.co,Temporary,The Cigna Group,2025-01-30T15:25:43.9292590+00:00,https://jooble.org/jdp/-4092450193681938225,Description not available
Content Marketing Strategist,"Fairfield, OH", Are you a dynamic self-starter with a passion for creating impactful content? Join our high-energy Marketing team and help shape the future of our e-commerce initiatives! We're looking for a creative and enthusiastic individual to drive content creation for email marketing...,,app.linkedin.com,,DNA Diagnostics Center | Eurofins,2025-02-02T00:00:00.0000000,https://jooble.org/jdp/3783896335654383482,Description not available
Senior FPGA Design Engineer,"Hamilton, OH"," Senior FPGA Design Engineer 
 Burlington, ON 
 Responsibilities 
 You will join the FPGA Design team and actively participate in the new product introduction design process by creating solutions using digital design techniques primarily in the context of FPGA technology...",,catsone.com,,Aversan,2025-01-30T00:00:00.0000000,https://jooble.org/jdp/-5476417151641040212,Description not available
Power BI Developer - Full time - Hybrid 2 days a week (Hamilton),"Hamilton, OH"," Position:  Power BI Developer 
 
  Location:  Hybrid, 2x per week in office (Hamilton, ON)
 
  Structure  : Full-time, Base, Bonus, RRSP Matching, Stock Options 
 -- 
  We have a great new Power BI Developer opportunity to support one of our Fortune 1000 clients ...",,ceipal.com,Full-time,CorGTA,2025-01-23T00:00:00.0000000,https://jooble.org/jdp/8364938896238809716,Description not available
"Product Design Engineer - Thermal Heat Transfer, Thermodynamics","Fairfield, OH","Title: Product Design Engineer – Thermal Heat Transfer, Thermodynamics
Location: Remote | Office Location: Cincinnati, Ohio
Type: Remote for candidates outside of commutable area; 2-week on-site training required upon hire
Travel: 10%
Compensation: Competitive base ...",,chamberlainstaffing.com,Full-time,,2024-12-06T00:00:00.0000000,https://jooble.org/jdp/884518401199715007,Description not available
"Senior Design Engineer, Structural Prestress","West Chester, Butler County, OH"," Be a Key Player in Structural Engineering at Contech  As a Design Engineer, you will be at the forefront of designing precast concrete structures and components for a wide spectrum of projects, ranging from intricate interstate highway bridges to versatile residential,...",,hirebridge.com,,Contech Engineered Solutions LLC,2025-01-22T00:00:00.0000000,https://jooble.org/jdp/-8948308867075152580,Description not available
Information Technology Specialist,"Hamilton, OH"," APPLY HERE: 
 
 
 The Army Virtual Recruiting Team of Columbus Ohio is currently looking to hire Active Duty and Reserve Soldiers. 
 You must enlist in the United States Army to obtain this position. 
 You must be between the ages of 17-34. 
 You must have a GED ...",,betterteam.com,Full-time,U.S. Army,2025-01-26T04:14:46.4770702+00:00,https://jooble.org/jdp/-5797724269451231384,Description not available
Robotic Automation Integrator,"Sharonville, OH"," Automation Integrator  Sharonville, OH 
 Established in 2013,  Excel Loading Systems  is the fastest growing loading arm company in the world, and as part of the business’ strategic growth, we are looking for full-time, highly skilled  Automation Integrator  to join our...",,workstream.is,Full-time,Excel Loading Systems,2025-01-31T00:00:00.0000000,https://jooble.org/jdp/-3073182505461776703,Description not available
IT Agile Delivery Lead,"Fairfield, OH","&nbsp;...Job Purpose: 

 The <b>IT </b>Release Manager, acting as Project Lead, will oversee and drive critical supply chain projects, ensuring alignment with strategic business goals. This role requires a strategic thinker with a deep understanding of supply chain management, strong...&nbsp;",,veritivcorp.com,,Veritiv Corporation,2025-01-14T11:39:24.2426369+00:00,https://jooble.org/jdp/-3805110737432842310,Description not available
Financial Systems RPA Analyst - Remote,"Hamilton, OH"," Financial Systems RPA Analyst - Remote  Springdale, OH, United States 
 Full time Schedule 

$53,500- $89,400 Annually* based on job, location, and schedule 

 Job Description 
 Bring Your Amazing Self to Work 
 At Macy's, Inc. we're on a mission to create a brighter...",,app.linkedin.com,,Macy's,2025-01-31T00:00:00.0000000,https://jooble.org/jdp/-8290788592770840344,Description not available
Quality Engineer,"Hamilton, OH"," For over 125 years, OPW has led the way in designing and manufacturing world-class retail fueling, fluid handling and car wash system solutions for the safe and efficient handling and distribution of fuels and critical fluids. OPW makes above ground and below ground products...",,successfactors.com,,Dover Corporation,2025-01-19T10:39:04.7300000,https://jooble.org/jdp/1434011468653128957,Description not available
"Design Engineer | Direct Hire - First Shift | Evendale, OH","Evendale, OH","&nbsp;...basis. 
 Knowledge of basic structural Engineering concepts and experience with 3D structural analysis software is preferred. 
 Good <b>IT </b>and Microsoft Office skills (Excel, Word, PowerPoint). 
 Experience with the comprehension of Engineering drawings, calculations and...&nbsp;",,breezy.hr,Full-time,AtWork Personnel,2025-02-01T00:00:00.0000000,https://jooble.org/jdp/5626643301223600551,Description not available
Assistant Project Manager - Solar Construction,"Hamilton, OH"," The Assistant Project Manager leads work alongside our Project Operations and Field Management to foster great client relationships, develop our employees, and oversee the safe construction of high quality, profitable, and on schedule projects. 
 Essential Duties and ...",,workable.com,Full-time,CS Energy,2025-01-26T10:04:31.7900000,https://jooble.org/jdp/9084758718357283130,Description not available
General Manager,"Hamilton, OH"," Company Summary: Who is Taco Bell? Taco Bell is a leading Mexican-inspired quick service restaurant brand that is a part of Yum! Brands, Inc. which includes Pizza Hut and KFC. Founded on innovation and passion with Glen Bell bringing tacos to the masses in a world of hot...",,jobs.chattr.ai,Full-time,Taco Bell,2025-02-02T00:00:00.0000000,https://jooble.org/jdp/-8315007509040576651,Description not available
Shift Leader,"Hamilton, OH"," Company Summary: Who is Taco Bell? Taco Bell is a leading Mexican-inspired quick service restaurant brand that is a part of Yum! Brands, Inc. which includes Pizza Hut and KFC. Founded on innovation and passion with Glen Bell bringing tacos to the masses in a world of hot...",,jobs.chattr.ai,Full-time,Taco Bell,2025-02-02T00:00:00.0000000,https://jooble.org/jdp/-4686830312354118191,Description not available
Assistant General Manager,"Hamilton, OH"," Company Summary: Who is Taco Bell? Taco Bell is a leading Mexican-inspired quick service restaurant brand that is a part of Yum! Brands, Inc. which includes Pizza Hut and KFC. Founded on innovation and passion with Glen Bell bringing tacos to the masses in a world of hot...",,jobs.chattr.ai,Full-time,Taco Bell,2025-02-02T00:00:00.0000000,https://jooble.org/jdp/-1967728318549929623,Description not available
Project Manager - Fire Protection & Life Safety Engineering,"Hamilton, OH"," Overview:  This role is designed for an experienced professional (7+ years) in fire protection and life safety engineering who is skilled at managing projects, interfacing with clients, and mentoring junior team members. As a Project Manager, you will independently oversee...",,recruiterflow.com,Full-time,Ignis Global Recruitment,2024-02-08T00:00:00.0000000,https://jooble.org/jdp/-3269221724162489409,Description not available
Residential Glazing Specialist,"Fairfield, OH","Window Installation
Residential Glazing Specialist
Family owned glass company is looking for a Residential Glazing Specialist to join our team!  This position is responsible for precision repairs and new installation of residential glass and for providing outstanding ...",,Frank's Glass,,Frank's Glass,2024-02-10T04:04:46.2030000,https://jooble.org/jdp/1049443006547416644,Description not available
Preventative Medicine Specialist,"West Chester, Butler County, OH"," The Army Virtual Recruiting Team of Columbus Ohio is currently looking to hire Active Duty and Reserve Soldiers.  
 Requirements: 
 You must enlist in the United States Army to obtain this position. 
 You must be between the ages of 17-34. 
 You must have a GED or ...",,betterteam.com,Full-time,U.S. Army,2025-01-26T04:15:12.1898553+00:00,https://jooble.org/jdp/-4932740028863972037,Description not available
Culinary Specialist,"West Chester, Butler County, OH"," The Virtual Recruiting team of Columbus Ohio is currently looking to hire Active Duty and Reserve Soldiers. 
 
  Note: 
 You must enlist in the United States Army to obtain this position. 
 You must be between the ages of 17-34. 
 You must have a GED or High School...",,betterteam.com,Full-time,U.S. Army,2025-01-26T04:14:36.0771547+00:00,https://jooble.org/jdp/8421309110736298059,Description not available
